MLBAMID,Age,ERA,RS_per_9,K_per_9,BB_per_9,H_per_9,HR_per_9,AVG,WHIP,BABIP,LOB_pct,GB_pct,LD_pct,FB_pct,GB_to_FB,HR_to_FB,IFH_pct,FIP,SIERA,Stuff_plus,Location_plus,Pitching_plus,Predicted Delta ERA,Predicted Delta FIP,Predicted Delta WHIP,Predicted Delta SIERA
493603,35,4.209677419,5.225806452,10.30645161,5.080645161,7.983870968,0.725806452,0.235042735,1.451612903,0.316455696,0.7333,0.4,0.20625,0.39375,1.015873015,0.079365079,0.125,3.960352888,4.232882995,116.2695271,94.62539405,102.2386165,-0.6000763,-0.391433628,0.145822485,-0.254404939
468504,33,4.32596913,4.32596913,6.56353937,4.027626432,7.309396116,1.044199445,0.216814159,1.259669172,0.24,0.6949,0.441340782,0.223463687,0.33519553,1.316666666,0.116666666,0.139240506,4.562296235,4.866784319,95.02460474,98.756917,97.76610672,-2.220512538,0.101472173,-0.095757594,0.172416403
445276,33,2.217391304,2.086956522,11.2173913,4.695652174,4.695652174,0.52173913,0.15,1.043478261,0.213333333,0.7749,0.370860927,0.185430463,0.443708609,0.835820895,0.059701492,0.017857142,3.083073786,3.718642702,134.2203582,101.7169651,110.6572102,-1.541497042,-0.222510492,0.07726833,0.086848676
429722,38,4.550564236,4.247193287,7.432588252,3.185394965,8.949442997,1.213483796,0.257641921,1.348315329,0.296511628,0.7203,0.368715083,0.223463687,0.407821229,0.904109589,0.109589041,0.106060606,4.434075929,4.438118564,85.46142857,96.69673469,95.14653061,-0.961427648,-0.194037592,-0.035362809,-0.468041686
501925,37,4.991592398,5.445373525,7.714279161,1.815124508,10.66385649,1.134452818,0.290123457,1.386553444,0.341463415,0.6863,0.44,0.256,0.304,1.447368421,0.131578947,0.109090909,3.926332186,3.817317931,94.17485796,101.6041394,101.0936188,0.183302518,-0.808294177,-0.039413949,-0.974211562
503285,38,3.374989338,0.843747335,9.28122068,3.374989338,7.593726011,1.687494669,0.219512195,1.21874615,0.25,0.8929,0.266666666,0.266666666,0.466666666,0.571428571,0.142857142,0,4.951274681,4.092112759,98.93756614,99.70634921,101.9560847,-0.002529735,0.712914338,0.0596265,-0.470460106
521230,32,2.535211268,2.915492958,14.32394366,0.887323944,5.704225352,1.394366197,0.173745174,0.732394366,0.251851852,0.7979,0.326388888,0.166666666,0.506944444,0.643835616,0.150684931,0.021276595,2.339044392,1.566017583,136.8520833,105.8918478,115.8078804,0.7147861,-0.986283854,-0.186039504,-1.955643431
433589,36,3.923076923,5.423076923,4.269230769,1.384615385,7.961538462,1.384615385,0.23,1.038461538,0.227091633,0.7209,0.37065637,0.193050193,0.436293436,0.849557522,0.10619469,0.052083333,4.721312359,4.990255585,83.13184773,102.2307335,96.63416899,-2.258624588,0.177986799,-0.222027418,0.130782779
503569,33,5.625,4.21875,10.96875,7.59375,8.15625,0.5625,0.23015873,1.75,0.317647059,0.6762,0.413793103,0.218390804,0.367816091,1.125,0.0625,0.138888888,4.357530308,5.01203769,96.14344942,92.21807629,92.30729685,-0.225167405,-1.150082782,0.16145465,-0.197246797
453343,36,2.226802898,2.087627717,8.211335685,3.479379528,7.51545978,0.556700724,0.225941423,1.221648812,0.284090909,0.793,0.56424581,0.251396648,0.184357541,3.06060606,0.121212121,0.05940594,3.355597216,3.695006789,106.7698382,105.4624167,102.2041865,-1.256474077,-0.506451372,0.142221196,0.069792793
